"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Finland,53.714,52.62,53.111,51.056,53.032,56.223,73.652,91.775,109.255,119.106,141.718,128.194,113.134,89.279,103.739,134.339,132.183,127.076,134.212,135.398,126.075,129.534,140.305,171.609,197.39,204.999,217.101,256.408,285.685,253.222,249.628,275.556,258.454,271.366,274.934,234.558,240.705,255.558,275.833,268.545,271.668,296.668,282.109,300.499,308.055,318.583,329.774,341.682,353.842,365.673
France,702.243,618.954,588.015,562.499,532.339,557.561,772.838,935.117,1020.878,1026.179,1272.433,1273.594,1404.391,1324.236,1396.653,1602.13,1606.035,1454.555,1505.184,1494.634,1366.243,1377.667,1500.348,1844.083,2118.671,2198.16,2320.659,2660.905,2929.983,2697.955,2647.348,2864.653,2685.371,2811.919,2856.701,2439.436,2472.282,2594.235,2792.223,2729.171,2645.3,2958.296,2780.433,3031.778,3130.014,3223.133,3332.653,3437.176,3544.996,3645.286
Gabon,4.559,4.111,3.853,3.689,3.547,3.736,4.889,3.699,4.079,4.458,6.339,5.754,5.955,5.757,4.463,5.281,6.064,5.673,4.774,4.966,5.397,5.023,5.332,6.51,7.767,9.468,10.164,12.457,15.57,12.188,14.384,18.207,17.181,17.596,18.209,14.385,14.02,14.924,16.83,16.824,15.337,20.229,21.076,20.524,21.013,21.099,21.425,21.831,22.357,22.871
"Gambia, The",0.606,0.579,0.548,0.551,0.396,0.482,0.376,0.504,0.585,0.614,0.721,0.76,0.82,0.878,0.87,0.909,0.949,0.983,1.009,1.036,1.01,1.002,0.887,0.843,0.962,1.028,1.054,1.28,1.562,1.45,1.543,1.41,1.415,1.376,1.229,1.355,1.47,1.498,1.662,1.806,1.809,2.045,2.161,2.362,2.694,3.006,3.226,3.408,3.61,3.885
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.85,1.961,3.148,3.608,3.73,2.898,3.144,3.311,3.493,4.103,5.269,6.59,7.979,10.458,13.158,11.069,12.425,15.475,16.894,17.516,17.966,15.223,15.445,16.472,17.905,17.645,16.013,18.849,24.985,30.536,32.865,35.554,38.234,41.051,43.754,47.549
Germany,853.705,718.264,693.547,691.912,651.9,661.037,944.124,1174.861,1266.623,1257.393,1598.64,1875.618,2136.312,2072.457,2209.934,2588.002,2498.113,2214.694,2242.065,2197.125,1948.843,1945.804,2077.016,2501.014,2813.076,2848.438,2994.862,3425.982,3744.854,3407.557,3402.444,3748.655,3529.377,3733.859,3890.095,3357.926,3468.896,3689.547,3976.246,3889.607,3884.615,4281.348,4085.681,4457.366,4591.1,4772.259,4941.646,5089.795,5229.272,5358.074
Ghana,37.35,60.694,70.406,47.317,17.113,15.255,14.072,11.777,12.523,12.733,14.749,16.506,16.312,13.348,12.32,14.61,15.482,15.794,17.166,17.766,11.47,12.234,14.205,17.528,20.302,24.6,28.883,34.044,38.659,34.601,43.327,53.849,56.854,63.702,54.285,49.437,56.144,60.385,67.259,68.353,70.008,79.599,72.243,76.277,75.244,76.019,81.084,86.456,92.244,98.554
Greece,57.01,52.605,54.878,49.603,48.329,47.936,56.421,65.682,76.447,79.25,97.963,105.633,116.466,109.022,116.678,136.941,145.872,143.327,144.644,149.412,132.198,136.31,154.455,202.319,240.854,248.012,273.561,318.94,355.87,330.949,297.368,282.946,242.183,238.911,235.519,195.703,193.095,199.774,212.146,205.275,188.329,214.811,217.753,238.275,250.276,260.452,270.034,278.721,287.758,297.028
Grenada,0.111,0.116,0.125,0.132,0.146,0.168,0.188,0.215,0.236,0.267,0.278,0.301,0.31,0.31,0.325,0.342,0.367,0.392,0.446,0.482,0.52,0.52,0.54,0.591,0.599,0.695,0.699,0.759,0.826,0.771,0.771,0.779,0.8,0.843,0.911,0.997,1.062,1.126,1.167,1.213,1.043,1.123,1.231,1.328,1.406,1.487,1.566,1.644,1.726,1.812
Guatemala,7.718,8.431,8.539,8.864,9.276,10.951,5.921,6.857,7.426,8.561,7.535,9.174,10.138,11.045,12.482,14.05,14.992,16.982,18.461,17.422,18.124,19.735,21.924,23.092,24.977,28.179,31.308,35.028,40.242,37.997,41.493,47.419,49.902,52.989,57.835,62.18,66.034,71.624,73.331,77.156,77.714,86.041,95.004,102.036,110.035,117.986,126.587,135.893,146.054,156.974
Guinea,2.4,2.381,2.335,2.284,2.327,2.473,2.675,2.84,3.317,3.384,3.71,4.195,4.57,4.562,4.707,5.139,5.316,5.212,5.003,4.798,4.039,3.806,4.022,4.759,5.012,4.506,4.178,6.317,6.966,6.753,6.858,6.775,7.387,8.376,8.777,8.79,8.604,10.325,11.857,13.443,14.089,16.32,19.589,23.005,25.447,27.216,29.027,31.064,33.255,35.384
Guinea-Bissau,0.289,0.37,0.421,0.475,0.33,0.485,0.474,0.401,0.374,0.449,0.548,0.772,0.846,0.653,0.361,0.778,0.741,0.704,0.592,0.58,0.392,0.413,0.466,0.553,0.582,0.64,0.635,0.753,0.953,0.889,0.941,1.157,1.05,1.11,1.136,1.153,1.245,1.469,1.555,1.487,1.523,1.725,1.718,1.969,2.151,2.321,2.5,2.694,2.89,3.081
Guyana,0.842,0.808,0.692,0.703,0.654,0.697,0.789,0.728,0.828,0.832,0.685,0.744,0.823,1.003,1.176,1.332,1.495,1.587,1.5,1.488,1.497,1.504,1.555,1.592,1.657,1.712,1.899,2.225,2.491,2.596,2.889,3.328,4.063,4.168,4.128,4.28,4.483,4.748,4.788,5.174,5.471,7.662,14.529,17.05,21.178,23.685,28.005,28.985,30.076,31.268
Haiti,2.664,2.932,3.05,3.273,3.627,4.028,4.475,2.205,1.45,1.34,1.706,1.53,0.918,1.107,3.054,4.846,5,5.748,6.408,7.148,6.81,6.285,6.064,4.866,6.037,7.186,7.507,9.522,10.488,11.598,11.852,13.009,13.709,14.904,15.137,14.831,13.996,15.036,16.454,14.787,14.508,21.017,19.826,21.533,24.046,24.359,24.214,24.158,24.582,25.372
Honduras,3.968,4.044,4.267,4.477,4.915,5.278,5.678,6.191,6.877,7.877,4.923,4.649,4.944,4.961,4.642,5.415,5.217,5.736,6.366,6.417,7.104,7.653,7.858,8.23,8.868,9.756,10.917,12.361,13.887,14.587,15.839,17.711,18.523,18.494,19.753,20.978,21.712,23.138,24.067,25.091,23.826,28.49,31.716,34.886,37.355,39.624,41.962,44.462,47.107,49.922
Hong Kong SAR,28.862,31.055,32.291,29.907,33.511,35.7,41.076,50.623,59.708,68.79,76.929,88.96,104.272,120.354,135.812,144.652,159.718,177.349,168.858,165.734,171.643,169.381,166.336,161.37,169.085,181.556,193.515,211.583,219.279,214.048,228.639,248.514,262.629,275.697,291.46,309.386,320.86,341.271,361.731,363.075,344.941,368.954,358.696,376.969,406.775,427.782,449.263,471.607,494.999,519.326
Hungary,23.042,23.629,24.064,21.839,21.174,21.441,24.698,27.144,29.703,30.323,34.366,34.754,38.731,40.125,43.167,46.426,46.659,47.297,48.707,49.073,47.218,53.75,67.609,85.285,104.121,113.211,115.716,140.187,158.326,131.069,132.175,141.942,128.814,135.684,141.034,125.174,128.61,143.112,160.566,164.011,157.227,182.09,178.121,212.61,223.413,240.121,254.15,269.148,285.531,302.462
Iceland,3.434,3.543,3.251,2.793,2.892,3.009,4.014,5.561,6.145,5.7,6.504,6.949,7.105,6.225,6.393,7.124,7.426,7.57,8.504,8.982,9.026,8.235,9.318,11.429,13.825,16.853,17.465,21.653,18.075,13.154,13.751,15.222,14.752,16.125,17.868,17.517,20.793,24.728,26.261,24.681,21.63,25.798,28.702,31.02,33.338,35.802,38.559,41.6,44.922,48.475
India,186.17,193.153,200.035,218.218,211.843,233.52,248.398,278.864,294.479,296.043,320.979,270.105,288.21,279.295,327.275,360.281,392.902,415.895,421.378,458.821,468.396,485.44,514.938,607.701,709.152,820.385,940.26,1216.736,1198.895,1341.889,1675.615,1823.052,1827.637,1856.721,2039.127,2103.588,2294.797,2651.474,2702.93,2835.606,2674.852,3167.271,3353.471,3572.078,3937.011,4339.83,4789.829,5287.04,5833.423,6436.653
Indonesia,99.296,110.848,113.799,103.149,107.218,107.062,101.22,95.214,107.279,122.582,138.258,154.558,168.28,190.913,213.727,244.227,274.722,260.68,115.323,169.158,179.482,174.507,212.807,255.346,279.344,310.92,396.518,470.092,558.291,578.577,755.094,892.969,917.87,912.524,890.815,860.854,931.877,1015.619,1042.272,1119.1,1059.055,1186.51,1319.076,1371.171,1475.69,1613.904,1746.604,1886.118,2035.959,2194.815
Iran,95.846,101.481,125.8,156.927,161.721,180.541,208.928,277.019,311.932,379.427,581.008,304.065,50.472,64.449,79.818,114.941,158.032,184.138,205,275.092,366.917,330.978,132.682,158.416,188.961,228.428,272.361,360.928,425.699,440.408,517.899,625.43,421.882,428.321,460.809,408.288,458.042,486.829,333.774,241.658,195.528,289.294,347.446,403.526,464.181,486.247,509.425,532.17,554.011,576.239
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.469,18.449,25.857,18.936,18.97,15.8,36.642,50.065,65.144,88.833,131.614,111.66,138.517,185.75,218.032,234.638,234.651,177.634,167.807,192.343,227.186,232.558,181.402,206.372,261.369,254.416,265.894,278.811,292.147,307.465,325.197,345.074
Ireland,21.425,20.423,21.313,20.618,19.883,21.168,28.516,33.66,36.875,38.03,48.199,48.84,54.911,51.364,55.843,69.26,75.928,82.957,90.305,98.993,100.253,109.347,128.505,164.63,194.283,211.993,232.193,270.112,275.417,236.187,222.096,239.129,225.262,238.115,259.75,292.394,298.477,337.124,386.868,398.977,428.266,513.733,533.559,545.787,564.02,586.864,612.631,639.446,667.93,696.95
Israel,25.013,26.503,28.404,31.678,29.989,27.873,34.314,40.984,50.77,51.657,60.955,69.146,77.265,77.656,88.646,105.307,114.868,119.248,120.359,121.167,136.228,134.622,125.055,131.314,139.9,147.103,158.722,184.069,220.551,212.452,238.913,267.406,262.919,297.636,314.092,302.724,320.96,357.229,375.151,399.652,411.731,489.71,525.003,509.478,530.664,569.509,594.688,621.711,651.253,682.284
Italy,479.122,434.498,429.408,445.612,440.268,454.653,643.932,808.203,895.423,931.283,1162.272,1227.727,1302.796,1047.616,1080.544,1175.276,1312.782,1243.229,1271.702,1253.691,1147.185,1168.032,1275.866,1577.228,1805.723,1859.245,1949.654,2213.365,2408.391,2197.54,2137.844,2294.592,2088.28,2141.954,2162.567,1836.824,1876.554,1961.104,2092.881,2011.525,1895.943,2156.31,2068.598,2255.503,2328.028,2390.443,2439.622,2492.629,2558.678,2625.878
Jamaica,2.565,2.817,3.235,2.875,2.119,1.993,2.369,2.672,3.184,3.692,4.663,4.285,4.328,5.44,5.453,6.549,7.394,8.4,8.787,8.887,9.065,9.195,9.719,9.43,10.175,11.233,11.946,12.881,13.743,12.107,13.193,14.413,14.765,14.213,13.865,14.154,14.108,14.755,15.648,15.808,13.885,14.674,17.003,18.884,20.098,20.856,21.544,22.256,22.997,23.763
Japan,1129.381,1245.224,1158.735,1270.864,1345.829,1427.025,2120.091,2580.757,3125.735,3109.464,3185.914,3648.078,3980.715,4536.955,4998.798,5545.566,4923.393,4492.449,4098.363,4635.982,4968.36,4374.71,4182.845,4519.564,4893.135,4831.467,4601.663,4579.75,5106.679,5289.494,5759.072,6233.148,6272.362,5212.328,4896.995,4444.931,5003.678,4930.837,5040.881,5117.995,5055.587,5034.621,4256.41,4212.944,4110.452,4310.366,4499.524,4649.09,4836.331,4944.744
Jordan,3.932,4.416,4.713,4.953,5.003,5.033,6.445,6.794,6.364,4.279,4.187,4.373,5.403,5.615,6.321,6.759,7.054,7.389,8.163,8.414,8.725,9.268,9.972,10.575,11.771,13.134,15.795,17.957,22.648,24.538,27.134,29.524,31.679,34.503,36.9,38.642,39.949,41.667,43.432,44.566,43.762,46.362,48.722,50.989,53.57,56.556,59.709,63.038,66.553,70.263
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.875,5.152,11.881,16.639,21.035,22.166,22.135,16.87,18.292,22.153,24.637,30.834,43.152,57.125,81.003,104.85,133.442,115.309,148.047,192.626,207.999,236.635,221.416,184.388,137.289,166.806,179.34,181.667,171.082,197.112,225.529,260.51,296.74,312.99,327.308,350.694,370.044,388.61
Kenya,13.449,12.667,12.196,11.279,11.703,11.646,13.832,15.163,15.722,15.586,16.219,15.315,15.084,10.479,12.547,15.905,18.064,18.3,20.63,18.594,18.206,18.697,19.03,21.391,22.79,26.308,29.668,36.708,41.059,42.347,45.406,46.555,56.407,61.703,68.395,70.37,74.816,81.965,92.211,100.328,100.912,109.875,113.701,108.923,104.001,109.646,118.046,126.229,135.491,145.378
Kiribati,0.033,0.035,0.033,0.031,0.034,0.026,0.026,0.03,0.038,0.038,0.037,0.041,0.062,0.059,0.067,0.069,0.081,0.08,0.075,0.077,0.075,0.065,0.075,0.097,0.104,0.114,0.112,0.138,0.15,0.142,0.166,0.196,0.207,0.202,0.201,0.192,0.207,0.223,0.234,0.217,0.224,0.29,0.271,0.279,0.311,0.332,0.349,0.365,0.379,0.394
"Korea, Republic of",65.368,72.934,78.349,87.761,97.511,101.296,116.836,147.949,199.593,246.929,283.365,330.658,355.516,392.731,463.432,566.595,610.164,570.594,382.855,497.254,576.483,547.743,626.989,702.696,792.532,934.708,1052.61,1172.465,1049.168,943.739,1143.568,1253.419,1278.046,1370.633,1484.489,1466.039,1499.362,1623.074,1725.373,1651.423,1644.676,1818.432,1673.917,1712.793,1760.947,1842.661,1924.4,2004.894,2087.319,2171.007
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.217,2.509,2.73,3.39,3.71,3.828,4.019,4.868,5.202,5.03,5.348,6.34,6.167,6.735,7.076,6.296,6.681,7.178,7.882,7.9,7.728,9.418,9.355,10.477,11.318,12.215,13.067,13.876,14.68,15.516
Kuwait,no data,25.249,21.583,20.871,21.7,21.445,17.904,22.368,20.69,24.313,18.293,10.826,19.871,23.955,24.859,27.186,31.491,30.35,25.941,30.126,37.714,34.906,38.129,47.869,59.439,80.799,101.548,114.608,147.391,105.992,115.401,154.02,174.066,174.179,162.695,114.606,109.399,120.688,138.211,138.695,107.516,141.773,182.846,161.784,160.397,163.377,166.478,171.137,176.782,183.425
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.917,0.665,1.108,1.493,1.822,1.767,1.63,1.242,1.368,1.525,1.606,1.92,2.214,2.459,2.837,3.807,5.139,4.69,4.794,6.198,6.604,7.335,7.467,6.678,6.813,7.703,8.271,9.372,8.283,9.256,11.672,12.775,13.599,14.666,15.622,16.52,17.35,18.216
Lao P.D.R.,1.913,1.118,1.119,2.047,2.93,3.685,2.577,1.815,1.182,1.46,1.742,2.053,2.354,2.652,3.081,3.579,3.726,3.515,1.334,1.415,1.72,1.757,1.844,2.26,2.651,3.079,3.934,4.757,5.946,6.431,7.506,8.964,10.194,11.972,13.266,14.418,15.904,17.055,18.131,18.77,18.511,18.533,15.121,15.197,15.19,16.221,17.006,17.951,19.107,20.368
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.694,2.728,4.533,5.411,5.975,6.529,7.169,7.535,7.963,8.363,9.564,11.777,14.44,17.03,21.589,31.1,36.023,26.48,23.998,27.74,28.191,30.21,31.395,27.266,28.076,30.473,34.445,34.229,34.363,39.469,40.454,43.598,45.466,48.274,50.747,53.319,56.024,58.828
Lebanon,4.02,3.843,2.621,3.611,4.269,3.566,2.78,3.254,3.269,2.682,2.801,4.392,5.472,7.435,8.988,10.971,12.824,15.535,17.059,17.174,17.018,17.361,18.837,19.486,21.16,21.497,22.023,24.827,29.119,35.4,38.444,39.927,44.017,46.88,48.096,49.929,51.148,53.028,54.901,50.88,24.494,20.476,21.78,no data,no data,no data,no data,no data,no data,no data
Lesotho,0.428,0.435,0.362,0.401,0.36,0.288,0.331,0.434,0.496,0.519,0.635,0.743,0.863,0.865,0.915,1.032,0.977,1.027,0.949,0.937,0.922,0.774,0.856,1.256,1.598,1.73,1.72,1.759,1.652,1.937,2.356,2.571,2.465,2.345,2.477,2.202,2.206,2.424,2.472,2.323,2.092,2.427,2.325,2.249,2.395,2.524,2.64,2.736,2.837,3.037
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.863,0.904,0.943,0.714,0.897,0.944,1.109,1.344,1.676,1.765,1.966,2.34,2.675,3.044,3.09,3.092,3.256,3.321,3.264,3.08,3.037,3.509,3.974,4.39,4.754,5.068,5.481,5.892,6.408,6.867
Libya,40.19,34.72,34.616,32.988,30.89,30.384,24.756,23.009,25.87,27.446,31.627,34.995,35.459,31.912,29.719,33.739,36.827,37.702,30.921,37.129,39.498,35.206,21.128,27.026,34.054,48.852,60.094,68.211,86.804,60.809,75.381,48.17,92.542,75.352,57.373,48.718,49.913,67.153,76.682,69.28,46.921,35.224,43.289,45.011,48.221,50.559,52.286,53.017,53.801,55.191
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.696,8.383,10.119,11.24,10.972,11.525,12.238,14.257,18.782,22.624,26.115,30.203,39.764,48.03,37.475,37.195,43.584,42.952,46.537,48.611,41.44,43.035,47.742,53.776,54.815,56.919,66.843,71.03,77.926,81.17,84.727,88.531,92.476,96.59,100.765
Luxembourg,6.434,5.549,4.557,4.473,4.385,4.544,6.611,8.211,9.301,9.903,12.628,13.683,15.328,15.714,17.487,20.571,20.464,18.428,19.263,21.088,21.24,21.388,23.633,29.66,35.049,37.693,42.912,51.593,58.838,54.408,56.26,61.685,59.814,65.204,68.823,60.078,62.2,65.689,71.033,69.898,73.64,85.641,81.706,85.78,88.556,93.366,97.424,101.572,105.834,110.144
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.86,7.372,8.247,10.643,12.16,14.874,18.44,21.027,21.588,28.242,36.844,43.19,51.536,54.903,45.048,45.071,50.384,55.191,55.082,25.344,30.969,24.464,47.061,54.677,61.777,66.171,69.827,73.65,77.625
Madagascar,5.202,4.759,4.785,4.686,3.906,3.803,4.348,3.213,3.189,3.176,3.931,3.255,3.715,4.063,3.522,3.838,4.932,4.263,4.402,4.278,4.629,5.438,5.352,6.372,5.065,5.859,6.396,8.525,10.725,9.617,9.983,11.552,11.579,12.424,12.523,11.323,11.849,13.176,13.76,14.105,13.051,14.555,15.285,15.753,16.465,17.917,19.268,20.762,22.725,24.898
Malawi,3.022,3.022,2.881,2.986,2.949,2.762,2.883,2.834,3.258,3.715,4.222,5.38,4.394,5.056,2.93,3.412,5.569,6.504,4.275,4.336,4.257,4.178,4.922,4.521,4.895,5.148,5.63,6.24,7.492,8.723,9.796,11.241,8.421,7.648,8.526,9.014,7.733,8.943,9.882,11.031,11.847,12.476,12.522,13.127,11.241,11.333,11.698,12.351,13.064,13.837
Malaysia,26.757,27.321,29.278,32.745,37.087,34.09,30.303,34.529,37.845,41.678,47.245,53.519,64.427,72.857,81.156,96.606,109.846,109.116,78.639,86.203,102.149,101.054,109.833,120.025,135.869,150.345,170.41,202.732,241.946,211.847,258.64,302.184,318.909,327.869,342.868,301.355,301.256,319.109,358.783,365.178,337.456,373.832,407.027,415.569,445.519,477.829,509.068,538.333,570.626,603.082
Maldives,0.063,0.073,0.087,0.094,0.113,0.134,0.158,0.149,0.178,0.201,0.231,0.262,0.306,0.346,0.382,0.466,0.527,0.652,0.693,0.756,0.801,0.767,0.828,1.052,1.227,1.163,1.575,1.868,2.272,2.345,2.588,2.629,2.885,3.286,3.69,4.098,4.367,4.747,5.294,5.599,3.739,5.392,6.238,6.685,7.199,7.897,8.461,9.044,9.64,10.276
Mali,2.031,1.66,1.468,1.418,1.416,1.426,1.981,2.308,2.316,2.827,3.223,3.284,3.372,3.362,2.575,3.337,3.416,3.208,3.328,3.444,2.963,3.468,3.905,4.713,5.452,6.251,6.906,8.157,9.871,10.249,10.698,12.993,12.45,13.243,14.369,13.106,14.022,15.36,17.079,17.281,17.643,19.786,18.724,20.684,21.662,22.984,24.565,26.244,28.049,29.946
Malta,1.202,1.174,1.109,1.083,1.025,1.038,1.348,1.682,1.909,1.999,2.401,2.611,2.906,2.59,2.868,3.38,3.446,3.489,3.697,3.858,4.075,4.089,4.478,5.455,6.102,6.415,6.811,7.989,9.127,8.721,9.043,9.637,9.468,10.551,11.629,11.093,11.665,13.48,15.411,16.006,15.238,18.136,18.372,20.963,22.737,24.023,25.371,26.737,28.167,29.637
Marshall Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.11,0.112,0.113,0.115,0.122,0.132,0.131,0.133,0.138,0.143,0.15,0.146,0.151,0.16,0.172,0.18,0.186,0.185,0.183,0.201,0.213,0.219,0.232,0.241,0.258,0.259,0.284,0.305,0.318,0.33,0.342,0.354,0.366
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.793,2.055,2.164,1.847,1.945,2.092,2.132,2.072,2.027,1.986,1.78,1.746,1.777,2.051,2.362,2.936,4.009,4.328,5.138,4.725,5.637,6.782,6.721,7.331,6.615,6.182,6.414,6.826,7.472,7.894,8.464,9.126,9.799,10.543,10.628,11.356,11.941,12.53,13.051,13.182
Mauritius,1.242,1.179,1.131,1.198,1.108,1.122,1.515,1.919,2.225,2.286,2.743,3.017,3.398,3.502,3.887,4.439,4.59,4.31,4.354,4.597,4.935,4.882,5.123,6.155,6.962,6.867,7.123,8.26,10.125,9.252,10.138,11.673,11.826,12.293,13.074,12.007,12.594,13.714,14.736,14.436,11.408,11.484,12.949,14.371,16.359,17.651,18.954,20.189,21.488,22.842
Mexico,242.153,311.012,225.706,184.01,217.001,230.272,159.434,174.84,213.893,260.663,307.613,368.772,427.661,530.226,553.618,380.182,432.158,523.45,557.485,631.24,742.061,796.055,810.666,765.55,819.459,917.572,1020.265,1102.356,1161.553,943.437,1105.424,1229.014,1255.11,1327.436,1364.508,1213.294,1112.233,1190.721,1256.3,1305.2,1120.832,1313.07,1463.324,1788.897,2017.025,2128.07,2231.099,2331.637,2437.85,2543.963
"Micronesia, Fed. States of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.22,0.217,0.204,0.217,0.217,0.23,0.236,0.238,0.241,0.236,0.246,0.249,0.252,0.258,0.275,0.291,0.307,0.323,0.313,0.314,0.31,0.325,0.359,0.392,0.394,0.372,0.39,0.43,0.46,0.484,0.507,0.526,0.541,0.556,0.571
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,6.977,8.417,8.708,9.496,9.51,7.726,8.072,9.515,11.252,11.737,11.53,13.694,14.55,17.052,18.356,20.19,22.247,24.516,27.022,29.867
Mongolia,2.728,2.854,2.963,3.071,2.837,3.294,3.636,4.086,4.104,4.275,2.678,2.821,1.566,0.771,0.926,1.452,1.348,1.181,1.125,1.057,1.137,1.268,1.397,1.595,1.992,2.523,3.414,4.235,5.623,4.584,7.185,10.41,12.278,12.582,12.227,11.62,11.154,11.481,13.207,14.206,13.313,15.286,17.146,19.862,21.943,23.509,25.382,27.246,29.215,31.326
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.966,1.15,1.269,1.681,2.073,2.261,2.724,3.686,4.564,4.171,4.146,4.544,4.09,4.466,4.595,4.055,4.376,4.855,5.509,5.543,4.777,5.865,6.243,7.406,8.011,8.467,8.916,9.367,9.841,10.33
Morocco,23.807,19.329,19.51,17.635,16.13,16.28,21.497,23.713,28.08,28.901,32.661,34.94,36.483,34.259,38.532,42.238,46.71,42.366,45.243,45.055,42.053,42.704,45.711,56.345,64.528,67.468,74.284,85.539,100.112,100.535,100.881,109.705,106.345,115.608,119.131,110.414,111.573,118.541,127.341,128.92,121.354,141.818,130.913,143.963,152.377,161.436,170.859,180.096,189.674,199.772
