"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Mozambique,4.615,3.585,3.662,3.28,3.417,4.516,5.301,2.395,2.105,2.199,3.529,3.855,2.799,2.883,2.958,3.062,4.03,4.874,5.551,6.285,5.931,5.65,5.951,6.584,7.937,8.868,9.51,10.811,12.92,12.264,11.412,14.619,16.688,17.198,17.978,16.209,12.069,13.265,15.017,15.513,14.235,16.168,18.407,21.353,22.975,25.208,26.668,30.841,35.208,38.919
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.838,6.044,7.261,6.693,6.496,8.336,10.095,11.382,12.752,16.76,23.907,28.971,35.748,50.292,55.131,59.176,63.153,62.655,60.09,61.267,66.699,68.802,77.801,68.054,61.766,64.496,68.006,73.539,79.529,86.119,93.251,100.968
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.268,2.568,2.841,3.296,3.156,3.537,3.948,3.954,4.11,3.832,3.824,3.941,3.577,3.396,4.974,6.673,7.324,7.711,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.676,12.539,10.583,12.443,12.602,12.327,12.765,13.486,14.245,14.99,15.745,16.538
Nauru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.031,0.03,0.029,0.023,0.037,0.044,0.048,0.066,0.101,0.094,0.099,0.085,0.097,0.109,0.131,0.125,0.125,0.176,0.154,0.154,0.161,0.164,0.169,0.172,0.176,0.181
Nepal,2.258,2.641,2.669,2.92,3.089,3.208,3.491,3.621,4.27,4.317,4.442,4.861,4.417,4.743,4.954,5.379,5.544,6.027,5.992,6.164,6.537,6.719,6.816,7.218,8.297,9.331,10.316,11.777,14.31,14.663,18.253,21.685,21.703,22.161,22.722,24.361,24.524,28.972,33.112,34.186,33.434,36.927,40.828,41.015,44.179,48.904,53.918,59.463,65.648,72.475
Netherlands,193.758,162.4,157.338,153.179,142.578,144.655,201.599,246.928,264.223,260.532,321.405,331.097,366.004,355.931,382.55,452.71,450.625,417.329,438.61,447.493,417.664,431.59,473.527,579.925,658.081,685.727,733.994,848.659,951.766,870.572,848.073,905.111,839.455,877.186,892.398,765.65,783.844,833.575,914.458,910.295,909.065,1030.363,1010.193,1117.101,1142.513,1177.592,1223.053,1269.891,1317.55,1363.567
New Zealand,22.559,23.479,23.245,22.492,22.385,22.546,27.437,36.99,45.52,44.022,45.799,43.435,41.52,44.805,52.92,62.241,69.101,68.867,56.816,58.898,54.127,53.129,62.06,82.408,101.599,113.266,109.738,134.876,135.373,121.701,145.36,166.949,175.033,187.132,200.153,176.326,185.901,203.626,209.6,210.762,210.257,249.736,242.35,249.04,257.626,266.774,277.688,288.508,301.286,314.499
Nicaragua,1.832,2.156,2.497,2.9,3.966,3.854,5.8,3.409,1.499,2.082,0.519,3.678,3.894,3.726,3.861,4.14,4.308,4.39,4.635,4.856,5.109,5.335,5.224,5.322,5.793,6.321,6.764,7.423,8.497,8.297,8.759,9.774,10.532,10.983,11.88,12.757,13.286,13.786,13.025,12.713,12.682,14.145,15.671,17.412,18.829,20.268,21.816,23.483,25.277,27.208
Niger,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.181,12.814,12.917,13.764,14.923,15.448,16.528,18.816,20.41,22.088,23.807,25.701,27.72
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,441.424,477.376,374.947,252.738,251.198,254.831,265.781,276.779,287.85
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.443,2.687,3.561,4.687,4.642,3.928,3.764,3.867,3.774,3.709,3.991,4.946,5.684,6.257,6.86,8.337,9.912,9.4,9.415,10.499,9.751,10.824,11.378,10.067,10.686,11.336,12.694,12.609,12.385,14.008,13.735,14.769,15.873,16.904,17.953,19.15,20.323,21.404
Norway,64.439,63.597,62.647,61.627,62.058,65.417,78.693,94.231,101.901,102.634,119.791,121.872,130.838,120.579,127.132,152.031,163.52,161.357,154.23,162.384,171.456,174.24,195.915,229.385,265.267,309.979,346.914,402.646,464.915,387.974,431.052,501.361,512.777,526.014,501.737,388.16,370.957,401.745,439.788,408.743,367.633,503.368,593.727,485.513,526.951,554.775,564.342,581.215,597.958,617.095
Oman,7.269,8.849,9.285,9.733,10.726,11.916,9.433,9.89,9.613,10.743,13.395,13,14.274,14.321,14.808,15.821,17.512,18.154,16.044,17.833,22.259,22.206,23.066,24.734,28.379,35.507,42.578,48.3,69.805,55.454,64.994,77.497,87.409,89.936,92.699,78.711,75.129,80.857,91.505,88.061,75.909,88.192,114.667,109.133,108.927,111.052,114.812,119.129,124.098,127.526
Pakistan,38.616,45.681,49.932,46.619,50.612,50.607,51.827,54.171,62.385,65.042,65.276,74.158,79.338,83.969,84.642,98.917,103.296,101.848,101.381,96.008,99.421,96.784,98.169,112.507,132.206,145.209,161.871,184.141,202.204,187.074,196.712,230.577,250.094,258.674,271.422,299.93,313.623,339.229,356.163,321.071,300.41,348.481,374.748,338.237,no data,no data,no data,no data,no data,no data
Palau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.15,0.159,0.163,0.155,0.166,0.186,0.191,0.196,0.199,0.184,0.184,0.195,0.215,0.226,0.246,0.283,0.303,0.29,0.289,0.282,0.258,0.233,0.246,0.267,0.308,0.351,0.371,0.386,0.399,0.413
Panama,4.253,4.814,5.319,5.461,5.7,6.03,6.266,6.294,5.441,5.456,5.931,6.522,7.414,8.096,8.633,8.825,10.406,11.245,12.191,12.775,12.958,13.166,13.685,14.422,15.811,17.244,19.109,22.072,26.072,28.104,30.513,35.95,41.902,47.261,51.74,56.062,60.017,64.468,67.294,69.722,57.087,67.407,76.523,83.382,87.347,91.731,97.309,103.225,109.501,116.159
Papua New Guinea,4.087,4.011,3.805,3.799,3.509,3.25,3.535,3.885,5.4,5.238,4.757,5.596,6.466,7.349,8.077,7.149,7.608,7.272,5.558,5.072,5.169,4.531,4.387,5.488,6.279,7.339,8.355,9.545,11.671,11.619,14.251,17.985,21.295,21.261,23.211,21.723,20.759,22.743,24.11,24.751,23.848,26.113,31.61,30.998,31.716,32.64,33.567,34.658,35.915,37.198
Paraguay,4.095,5.22,5.47,6.069,4.931,4.214,5.032,4.216,5.584,4.046,4.904,6.984,7.158,7.249,7.871,9.062,9.788,9.965,9.26,8.837,8.856,8.496,7.196,7.691,9.624,10.738,13.43,17.856,24.615,22.355,27.129,33.737,33.296,38.651,40.378,36.211,36.09,38.997,40.225,37.925,35.432,39.951,41.953,43.871,45.817,48.033,51.395,54.206,57.191,60.351
Peru,20.19,24.398,24.259,18.863,19.442,16.823,25.241,41.681,32.978,40.699,28.326,33.988,35.377,34.33,43.225,51.38,53.412,56.281,53.918,48.719,50.414,51.034,53.954,58.537,66.126,74.232,87.459,102.187,121.293,121.821,148.991,170.929,193.072,202.581,202.902,192.186,195.633,215.74,226.858,232.419,206.199,226.231,245.008,267.585,282.458,294.781,307.194,319.956,333.131,346.778
Philippines,37.082,40.735,42.441,37.953,35.86,34.973,34.129,37.932,43.293,48.652,50.508,51.784,60.422,62.037,73.159,84.644,94.65,94.106,74.492,85.64,83.667,78.921,84.307,87.039,95.002,107.42,127.653,155.98,181.007,176.132,208.369,234.217,261.92,283.903,297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.284,436.622,471.516,509.379,551.56,596.935,650.628,709.641
Poland,56.731,53.752,65.315,75.555,75.656,70.915,73.822,63.84,68.747,67.027,62.206,80.61,88.888,90.544,103.887,139.363,156.993,157.493,172.389,168.13,171.613,190.805,199.07,217.829,255.292,306.304,344.627,429.021,533.6,439.794,475.697,524.374,495.23,515.762,539.212,476.788,469.65,524.78,588.804,595.968,599.458,681.429,688.25,808.435,844.623,884.581,937.789,984.45,1022.936,1063.492
Portugal,32.607,32.477,30.678,28.267,25.951,27.231,37.869,47.387,55.435,59.806,79.439,89.904,108.119,95.139,99.692,118.182,122.655,117.211,124.124,127.597,118.658,121.605,134.7,165.185,189.296,197.363,208.767,240.524,263.388,244.402,238.308,245.075,216.361,226.437,229.961,199.414,206.369,221.28,242.423,240.013,228.849,255.705,255.398,287.421,298.949,309.715,321.832,334.087,346.807,359.658
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.958,105.126,103.131,106.369,113.435,115.799,117.763,120.425,123.625,128.927,133.22,137.419
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,176.371,144.411,179.732,236.258,234.218,244.686,251.898,268.995,289.377,302.323,312.262
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.447,40.396,46.035,57.79,75.059,98.547,122.114,174.831,215.568,174.564,170.294,192.835,179.243,189.83,199.981,177.877,185.334,210.529,243.498,250.993,251.699,286.015,301.273,345.894,369.971,389.689,413.281,438.774,463.786,488.55
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.603,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.006,1695.724,1488.117,1843.131,2272.262,1997.03,2056.844,2090.522,2117.244,2148.676,2182.013,2211.461
Rwanda,1.493,1.695,1.808,1.932,1.851,2.199,2.49,2.765,2.959,3.09,2.954,2.179,2.313,2.231,1.418,1.47,1.593,2.144,2.29,2.131,2.049,1.967,1.963,2.139,2.388,2.943,3.317,4.069,5.183,5.675,6.124,6.885,7.654,7.821,8.24,8.546,8.695,9.253,9.637,10.345,10.173,11.053,13.309,14.02,13.701,14.135,15.18,16.374,17.802,19.478
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.778,0.774,0.779,0.836,0.825,0.875,0.953,0.957,1.007,1.058,1.076,1.107,0.884,0.859,0.973,1.068,1.134,1.207,1.279,1.345,1.411,1.481
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.429,0.486,0.579,0.613,0.674,0.684,0.713,0.762,0.788,0.805,0.877,0.921,0.932,0.892,0.899,0.987,1.066,1.135,1.268,1.331,1.427,1.4,1.463,1.569,1.598,1.66,1.75,1.807,1.869,1.999,2.061,2.103,1.523,1.85,2.297,2.464,2.582,2.701,2.817,2.931,3.049,3.172
Saint Vincent and the Grenadines,0.089,0.11,0.123,0.132,0.146,0.157,0.174,0.19,0.217,0.232,0.26,0.275,0.3,0.309,0.313,0.341,0.358,0.376,0.403,0.422,0.428,0.462,0.488,0.509,0.55,0.58,0.644,0.714,0.733,0.714,0.72,0.714,0.73,0.765,0.771,0.787,0.814,0.844,0.884,0.911,0.869,0.872,0.947,1.041,1.128,1.195,1.253,1.313,1.375,1.441
Samoa,0.127,0.119,0.122,0.113,0.111,0.106,0.112,0.124,0.138,0.141,0.182,0.176,0.193,0.198,0.158,0.242,0.258,0.28,0.286,0.262,0.271,0.273,0.289,0.342,0.418,0.486,0.516,0.568,0.684,0.618,0.68,0.744,0.773,0.798,0.797,0.824,0.844,0.885,0.878,0.913,0.869,0.844,0.833,0.934,1.024,1.093,1.152,1.204,1.254,1.309
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.008,1.06,1.148,1.462,1.714,1.788,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.543,1.857,1.788,1.954,2.034,2.092,2.159,2.227,2.298,2.37
Saudi Arabia,164.54,184.292,153.24,129.18,119.631,103.894,86.886,85.582,88.138,95.217,117.474,132.047,136.905,132.79,134.994,143.151,158.45,165.742,146.775,161.717,189.514,184.137,189.605,215.807,258.741,328.205,376.397,415.687,519.796,429.097,528.206,676.635,741.85,753.865,766.606,669.484,666,714.994,846.584,838.564,734.271,874.156,1108.572,1067.583,1106.015,1171.003,1228.906,1289.618,1349.31,1429.303
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.405,24.534,27.584,27.744,31.407,35.45,39.963,42.945,45.872,49.815,53.015
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.635,18.529,11.973,9.79,13.009,17.185,22.515,26.017,27.496,32.602,43.395,52.094,45.156,41.369,49.28,43.316,48.394,47.062,39.656,40.693,44.179,50.641,51.514,53.356,62.787,63.563,75.187,81.873,87.738,94.258,100.902,107.914,115.73
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.388,1.432,1.568,1.675,1.777,1.867,1.384,1.49,2.058,2.153,2.203,2.334,2.481,2.649,2.831,3.025
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.074,4.059,4.148,4.095,3.906,4.558,4.594,4.69,4.909,5.185,5.483
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,319.054,343.257,376.893,376.902,349.488,434.111,498.475,501.428,525.228,548.148,573.465,599.299,626.285,654.713
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.726,15.838,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,91.237,99.905,94.684,98.937,101.463,88.91,89.928,95.616,106.186,105.723,106.646,118.655,115.553,132.122,140.808,149.401,157.083,164.227,171.757,179.484
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.26,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.572,54.202,54.393,53.691,61.873,60.111,68.236,72.101,75.096,78.591,82.212,86.082,90.032
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.185,1.286,1.336,1.308,1.379,1.47,1.615,1.619,1.536,1.489,1.56,1.631,1.707,1.82,1.933,2.056,2.184,2.318
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.022,5.183,5.869,6.443,6.841,7.391,8.252,8.278,9.42,9.204,9.839,10.42,11.68,12.804,13.891,15.059,16.31,17.638,18.985
South Africa,89.412,93.15,85.897,96.205,84.838,64.481,73.399,96.533,104.01,108.07,126.027,135.227,146.97,147.236,153.569,171.736,163.34,169.004,152.885,151.426,151.855,135.527,129.385,197.017,256.188,288.749,304.055,332.65,316.491,331.184,417.315,458.708,434.4,400.877,381.195,346.663,323.493,381.317,405.093,389.245,338.193,420.009,405.106,377.676,373.233,384.765,398.062,413.042,427.66,442.857
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.34,11.267,14.947,15.178,15.326,2.899,1.804,3.118,4.044,5.423,5.94,8.037,7.295,6.517,6.987,7.324,7.789,8.514,9.702
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.59,1355.599,1372.174,1196.278,1233.215,1312.782,1422.347,1394.474,1277.106,1446.613,1418.916,1581.151,1647.114,1715.584,1772.09,1829.221,1890.022,1950.639
Sri Lanka,5.194,5.404,5.834,6.298,7.382,7.302,7.826,8.149,8.518,8.55,9.787,10.716,11.553,12.351,14.245,15.127,16.592,18.544,19.05,19.143,20.007,19.236,20.238,22.352,24.423,28.88,33.447,38.27,48.177,49.75,58.643,67.725,70.392,76.934,82.483,85.091,88,94.376,94.484,89.015,84.441,88.548,74.846,no data,no data,no data,no data,no data,no data,no data
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.534,64.888,48.906,33.432,33.586,34.47,34.8,33.762,25.716,26.865,27.447,28.25,28.806,29.236,29.254
Suriname,1.276,1.427,1.469,1.419,1.387,1.402,1.43,1.573,1.864,2.177,0.577,0.637,0.59,0.465,0.523,0.993,1.234,1.322,1.588,1.308,1.355,1.167,1.474,1.729,2,2.393,2.812,3.144,3.783,4.15,4.677,4.735,5.332,5.51,5.612,5.126,3.317,3.592,3.996,4.016,2.912,3.084,3.631,3.751,4.337,4.6,4.788,5.055,5.287,5.59
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,533.88,547.054,639.715,590.41,593.268,623.048,651.281,680.164,711.1,742.266,774.57
Switzerland,122.466,112.129,114.891,114.517,109.4,110.965,159.074,199.086,215.36,208.135,265.911,269.003,279.764,272.006,301.246,352.992,340.15,294.749,303.173,297.515,279.24,286.693,309.513,362.165,403.358,418.086,441.727,490.84,566.911,553.735,598.165,715.73,686.393,706.416,726.709,693.9,687.61,695.399,725.783,721.833,741.028,812.441,818.643,885.141,938.458,971.745,1022.424,1062.449,1117.347,1160.827
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
SÃ£o TomÃ© and PrÃ­ncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.201,0.191,0.228,0.231,0.269,0.295,0.262,0.294,0.325,0.387,0.416,0.476,0.529,0.548,0.656,0.751,0.821,0.889,0.964,1.044,1.132
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,611.396,673.178,773.038,760.907,756.592,802.958,854.677,900.208,943.377,975.643,1005.191
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.994,7.535,7.762,8.301,8.134,8.934,10.493,11.855,12.953,14.118,15.395,16.774,18.199,19.744
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.123,14.159,15.576,17.174,18.878,21.81,27.779,29.301,31.86,34.369,39.65,45.677,49.982,47.424,49.774,53.275,54.775,58.797,63.373,67.964,74.128,79.447,79.605,86.126,93.739,103.022,113.481,124.968
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.669,126.392,120.296,134.301,152.281,172.896,189.318,221.758,262.943,291.383,281.711,341.105,370.819,397.558,420.334,407.339,401.296,413.366,456.357,506.754,543.977,500.462,506.256,495.646,514.945,548.89,573.394,605.762,643.894,678.622,710.434
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.47,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.042,1.16,1.396,1.447,1.594,1.651,1.616,1.584,2.048,2.163,3.622,3.205,2.338,1.992,2.14,2.292,2.453,2.625,2.809
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.76,4.578,4.717,4.75,5.421,5.417,6.022,6.395,5.756,6.069,6.385,7.033,6.993,7.4,8.338,8.144,9.055,9.832,10.557,11.337,12.18,13.087,14.068
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.481,0.511,0.49,0.47,0.498,0.547,0.581,0.606,0.625,0.643,0.665,0.686
